HU N P u v hel DD mois heure FFp FFo
84.2 1 1018 2.1 -4.3 48.95 -1.12 2 15 4.79 11.5
73.2 1 1020.2 2 -8.1 263.94 -1.33 2 9 8.34 18
58.1 1 1017.6 -1.4 -9.5 73.49 -1.72 2 12 9.6 20.4
59.7 1 1022.7 2.7 -8.6 93.26 -1.27 2 18 9.01 13.2
70.1 1 1023 4 -4.9 73.66 -0.89 3 18 6.33 11.2
88.9 1 1021 4.6 -3.1 127.82 -0.59 3 15 5.55 10.7
69.5 1 1019.1 7.5 -2 39.3 -0.26 3 15 7.76 10.4
94 1 1022.4 0.8 -1.7 -10.35 -1.13 3 0 1.88 3.6
95.3 1 1025.4 1.6 0 43.42 0 3 15 1.6 3.6
84.8 1 1022.6 1.7 3.1 39.93 1.07 3 12 3.54 3.9
73.4 1 1021.4 2.7 3.8 18.51 0.95 3 15 4.66 5.8
67 1 1021 1.8 0.8 -28.26 0.42 3 18 1.97 3.3
74.8 1 1022.1 -0.7 -1.1 9.58 -2.14 3 21 1.3 3.1
74.5 1 1023.6 -0.4 -1.8 13.77 -1.79 3 0 1.84 4.4
70.2 1 1024.4 -1.5 1.9 -52.84 2.24 3 18 2.42 7.2
72.4 1 1025.5 -4.8 0.2 2.62 3.14 3 18 4.8 7.2
52.1 1 1021.1 3.7 -1.5 8.49 -0.38 3 12 3.99 5
58.1 1 1021.6 3.2 -1.3 17.04 -0.38 3 12 3.45 5
63.9 1 1020 4.4 -3.1 55.34 -0.61 3 18 5.38 11.9
59 1 1019.4 3.1 -3.6 24.06 -0.86 3 12 4.75 4.4
58.1 1 1019.9 2.6 -0.5 3.25 -0.19 3 12 2.65 4.4
58.2 1 1024.6 -7 6.9 48.34 2.36 3 12 9.83 4.6
81 1 1030.9 -9.3 10 234.62 2.32 3 15 13.66 16
77.1 1 1030.7 -8.5 10.4 137.73 2.26 3 15 13.43 16
82 1 1031.6 -8.8 10.1 216.89 2.29 3 9 13.4 16.6
63.8 1 1031.1 -8.4 11.2 130.4 2.21 3 12 14 17.9
81.3 1 1029.2 -6.5 5.4 94.98 2.45 3 21 8.45 11.1
64 1 1024.5 0.3 -0.7 -14.39 -1.17 3 0 0.76 3.3
57.6 1 1021.9 4.5 -1 0.93 -0.22 3 15 4.61 7.4
86.4 1 1022.3 -0.2 -0.9 -3.33 -1.79 3 15 0.92 4.3
73.9 1 1021.1 -0.6 -1.3 24.18 -2 3 9 1.43 5.3
44.4 1 1017.4 -2.4 3 7.41 2.25 3 12 3.84 8.8
90.5 1 1018.2 -8.3 6.6 145.94 2.47 3 21 10.6 16.3
87.2 5 1006 -12.1 6.3 401.94 2.66 3 21 13.64 16.4
86.2 1 1001.2 -11.2 6.1 325.15 2.64 3 15 12.75 13.6
93.7 2 1004.2 -5.3 8.8 208.47 2.11 3 15 10.27 4.3
91.9 1 1006.8 -1.8 1.5 87.4 2.45 3 18 2.34 4.7
96.3 1 1005.6 -3.5 7 109.46 2.03 3 18 7.83 4.7
95.2 1 1010 -2.3 1.6 33.27 2.53 3 21 2.8 7.4
85.6 1 1010.5 -10.9 10.2 68.46 2.39 3 18 14.93 20.6
89.8 1 1009 -10.4 6 84.67 2.62 3 15 12.01 19.6
86.8 2 1009.1 -10.3 5.7 140.49 2.64 3 9 11.77 13.8
85.3 1 1002.7 -7.1 -4.2 257.73 -2.61 3 15 8.25 7.6
95.4 1 1005.6 3.5 -2 38.74 -0.52 3 0 4.03 5.4
90.8 2 1011.6 9 -5.4 115.04 -0.54 3 12 10.5 17
92.2 1 1013.1 9.8 -5.1 125.2 -0.48 3 15 11.05 19.3
87.4 1 1017.5 10 -6.8 205.18 -0.6 3 18 12.09 18.3
89.6 1 1014.8 9.8 -6.3 160.77 -0.57 3 18 11.65 18.3
82.5 1 1025 7.2 -8.5 60.83 -0.87 3 15 11.14 18
93.4 3 1026.8 6.6 -5.5 70.72 -0.69 3 21 8.59 16.8
88.7 1 1026.6 7 -8.3 97.55 -0.87 3 0 10.86 14.8
92.8 1 1027.1 7.3 -5.2 82.31 -0.62 3 9 8.96 13
74.2 1 1026.3 7.8 -7.7 116.68 -0.78 3 12 10.96 18.7
56.3 1 1027.2 2.3 -6.5 27.38 -1.23 3 18 6.89 14.7
63.5 1 1026.9 1.4 -8.7 56.76 -1.41 3 18 8.81 14.7
51.2 1 1025.6 2.2 -1.1 17.45 -0.46 3 18 2.46 8
73.2 1 1028.9 -2 -4 25.31 -2.03 3 0 4.47 10.9
59.3 1 1029.3 -3.1 -5.6 17.34 -2.08 3 0 6.4 10.9
47.6 1 1029 -2 -3.8 -25.21 -2.06 3 9 4.29 7.7
59.2 1 1027.7 0.6 4.2 -14.7 1.43 3 12 4.24 6.1
80.8 1 1033.8 -0.2 -2.1 16.37 -1.67 3 15 2.11 5.6
50.5 1 1031.8 -0.7 -1.8 88.05 -1.94 3 15 1.93 5.3
50.7 1 1029 -4.6 -0.4 133.63 -3.05 3 15 4.62 3.5
57.1 1 1032.2 -0.7 -1.7 58.36 -1.96 3 15 1.84 3.5
61.1 1 1021.6 -2.4 1.6 33.93 2.56 3 21 2.88 7.2
50.4 1 1016.2 -0.2 3.9 -9.16 1.62 3 12 3.91 5
79.1 1 1014.4 -0.8 -1 47.92 -2.25 3 0 1.28 5.5
92.5 5 1010.2 -1.1 2.7 5.41 1.96 3 15 2.92 14
92.5 1 1011.2 6 -1.6 -11.57 -0.26 3 15 6.21 14
89 1 1012.7 1.1 -0.7 14.66 -0.56 3 0 1.3 5.8
95.6 4 1015.2 4 -0.5 16.6 -0.12 3 9 4.03 12.9
69.8 1 1015.3 6.7 -3.5 35.34 -0.48 3 15 7.56 11.5
92 1 1015 6.1 -0.4 55.28 -0.06 3 18 6.11 10.7
98.9 5 1016.7 0.3 0.2 9.09 0.59 3 15 0.36 3.8
88 1 1016 6.3 -0.1 27.62 0 3 15 6.3 10
96.1 1 1020.4 2.1 -2.6 -8.41 -0.89 3 15 3.34 2.6
79.5 1 1020.6 5.8 -3.4 8.08 -0.53 3 15 6.72 11.1
97.1 1 1024.9 4.1 -1.4 51.2 -0.33 3 0 4.33 10.2
87.2 5 1020.9 10.3 -4.9 56.78 -0.44 3 0 11.41 10.2
93.5 1 1026.5 7 -3 89.01 -0.41 3 15 7.62 14.7
95.2 1 1028.4 3 -4.5 -17.68 -0.98 4 0 5.41 9.2
97.2 1 1028.2 0.6 -2.5 -9.57 -1.34 4 15 2.57 7.4
63 1 1018.8 -6 1.1 178.74 2.96 4 15 6.1 5.5
68.6 1 1018.7 -5.2 4.3 109.03 2.45 4 9 6.75 9.8
61 1 1015.6 -3.8 7.2 -9.12 2.06 4 15 8.14 9.7
63.5 1 1015.5 -4.1 6.5 -16.77 2.13 4 15 7.69 9.7
87.1 1 1016.6 -6.7 4.2 219.39 2.58 4 0 7.91 3.8
71.9 2 1014.2 -0.2 5.2 -16.01 1.61 4 15 5.2 7
90.3 1 1019.7 4.9 -6 45.06 -0.89 4 15 7.75 10.8
70.3 1 1028.2 -1.1 -6.6 -60.27 -1.74 4 15 6.69 7.9
59.3 1 1023.2 2.5 0.5 13.45 0.2 4 18 2.55 6.6
62.9 1 1028.5 -0.2 -0.8 -13.12 -1.82 4 9 0.82 4.9
68.2 1 1027.8 -0.2 -1 -2.91 -1.77 4 9 1.02 4.9
32 1 1026.4 2 -4.1 7.33 -1.12 4 12 4.56 4.2
37.4 1 1020 -1.7 -3.8 -32.98 -1.99 4 21 4.16 8.9
57.2 1 1020.1 -0.7 -3.2 -14.05 -1.79 4 0 3.28 12.9
39.1 1 1018.3 3.1 -0.8 69.5 -0.25 4 21 3.2 6.4
93.3 1 1023.5 4.7 -4.3 147.03 -0.74 4 0 6.37 11
87.9 1 1022.8 4.8 -4 149.06 -0.7 4 15 6.25 11
89.2 1 1026.2 6.7 -4.8 52.07 -0.62 4 0 8.24 17.3
91.4 1 1025.7 6.7 -4.7 50.49 -0.61 4 15 8.18 12.7
89 1 1025.8 6.4 -5.6 38.93 -0.72 4 15 8.5 12.7
89.4 1 1025 5.9 -5.7 30.69 -0.77 4 15 8.2 12.7
84.8 1 1025.7 7.4 -5 41.28 -0.59 4 9 8.93 14.7
56.4 1 1025.3 0.2 -7.2 -114.45 -1.54 4 0 7.2 11.5
23.3 1 1021.6 -0.6 -6.7 -5.77 -1.66 4 12 6.73 12.1
23.8 1 1017.2 4 -3.9 7.21 -0.77 4 18 5.59 9.4
25.1 1 1017.5 3.3 -2.8 -1 -0.7 4 18 4.33 9.4
44.4 2 1015.2 -0.6 -1 1.72 -2.11 4 15 1.17 6.1
44.3 1 1014.7 2.7 -0.6 -7.97 -0.23 4 9 2.77 3.6
27.3 1 1010.7 5.8 -4.9 -7.13 -0.7 4 18 7.59 13
52.6 1 1018.7 -0.3 -2.2 12.78 -1.71 4 15 2.22 5.3
39.2 1 1017 5.2 0.2 16.5 0 4 18 5.2 8.4
61.8 1 1019.7 -1.6 0.9 13.53 2.63 4 0 1.84 4.6
45.4 1 1020.6 -2.2 5 35.93 1.99 4 9 5.46 6.6
49.5 1 1020.7 -3.8 4 4.52 2.33 4 9 5.52 6.6
62.1 1 1019 -5.8 0.1 158.44 3.14 4 15 5.8 7.3
88.3 1 1020.7 -5.9 5.7 265.65 2.37 4 15 8.2 7.3
50 1 1017.2 -5.1 2.8 129.85 2.64 4 0 5.82 7.1
56.3 1 1015.9 -5.9 2 89.64 2.81 4 15 6.23 8.1
53.3 1 1016.2 -6.9 1.9 134.83 2.87 4 15 7.16 8.9
32.4 1 1014.5 -6.3 9.3 30.06 2.17 4 12 11.23 16
34.8 1 1013.8 -8.2 8 107.03 2.37 4 12 11.46 16
43.2 1 1014.8 -7.7 7 107.77 2.4 4 9 10.41 14.8
83.5 1 1016.6 -8.4 4.2 231.43 2.68 4 15 9.39 15.1
34.2 1 1013.3 -11 10.2 81.44 2.39 4 15 15 17.7
59.6 3 1013.2 -9.6 5.5 71.56 2.62 4 21 11.06 15.6
70.8 1 1010.6 -11.1 8.3 33.45 2.5 4 15 13.86 13.3
88.2 1 1012.2 -10.7 6 152.25 2.63 4 9 12.27 11.9
81.4 1 1010.6 -11.4 5.3 116.33 2.71 4 12 12.57 9.7
84.1 1 1012.1 -8.2 5.8 121.56 2.53 4 12 10.04 9.7
93.2 1 1015.8 -3.4 1.9 4.9 2.63 4 15 3.89 9.8
91.8 2 1016.7 -4.4 1.6 73.47 2.79 4 15 4.68 6.7
96.2 1 1016.1 0.7 -1.2 12.64 -1.04 4 15 1.39 2.8
78.7 1 1017 2.5 -1.6 18.27 -0.57 4 9 2.97 3.7
60.9 6 1014.6 3.8 -1.9 12.61 -0.46 4 12 4.25 7.5
93.6 1 1016.3 3.7 -2.3 105.19 -0.56 4 21 4.36 5.7
85.3 1 1015.1 4.6 -3 160.43 -0.58 4 9 5.49 3.6
80.3 1 1014.5 4.6 -2.8 122.91 -0.55 4 9 5.39 3.6
50.3 1 1013.4 5 -5.5 42.71 -0.83 4 12 7.43 11.8
67.4 1 1015.6 2.3 -2.4 39.2 -0.81 4 15 3.32 10
78 1 1015.9 1.1 -1.1 17.87 -0.79 4 15 1.56 10
38 1 1013.4 3.1 -7.2 9.65 -1.16 4 12 7.84 14.4
60 1 1013.6 -3.5 -5.6 -60.96 -2.13 4 0 6.6 9.2
75.1 1 1013 -1.5 -3.4 -8.11 -1.99 4 0 3.72 9.2
77.4 1 1013 0.2 -2.9 -17.8 -1.5 4 15 2.91 8.4
69.2 1 1011.6 -1.9 -4.3 -6.31 -1.99 4 9 4.7 10.5
57.7 7 1009.8 4.4 -1.3 5.75 -0.29 4 12 4.59 6.9
65.5 5 1008.8 4.2 2.2 23.41 0.48 4 15 4.74 11.5
72.5 1 1009.7 1.1 0.2 3.58 0.19 4 21 1.12 7.1
70.8 1 1009.6 0.7 -0.9 6.52 -0.91 4 21 1.14 7.1
78.3 1 1009.2 -0.5 -0.6 -2.8 -2.27 4 0 0.78 6.7
91.8 2 1008.9 -0.8 -1.1 20.94 -2.2 4 15 1.36 3.4
93.6 1 1007.7 -4.2 3.4 127.95 2.46 4 15 5.4 2.7
76.2 4 1007.7 -0.3 4.3 8.94 1.64 4 9 4.31 3.6
89 1 1004.7 -3.4 1.4 40.3 2.75 4 15 3.68 6
65.2 1 1003.5 -3.9 6.6 -17.31 2.1 4 18 7.67 9
68.4 1 1003.6 -2.4 6.3 -27.61 1.93 4 18 6.74 9
55.6 1 1005.4 -2.7 6.4 -38.18 1.97 5 18 6.95 11.2
56.8 1 1004.7 -4.9 6.7 8.47 2.2 5 18 8.3 11.2
72 1 1006.2 -4 1.5 50.5 2.78 5 21 4.27 7.8
68.2 1 1004.3 -1.1 -1 -19.68 -2.4 5 0 1.49 6.9
63.3 1 1002.1 -1.2 -1.5 0.25 -2.25 5 15 1.92 4.3
83 1 1007.4 0.2 -1.2 52.24 -1.41 5 15 1.22 4.6
88.4 1 1009.8 7.7 -4.3 30.33 -0.51 5 18 8.82 18.4
84.5 1 1017.3 6.2 -4.6 18.67 -0.64 5 9 7.72 11.1
80 1 1017.2 7.2 -5 60.81 -0.61 5 12 8.77 13.7
72.5 1 1016.5 7.2 -5.5 75.8 -0.65 5 15 9.06 14.8
84.5 1 1019.1 1.5 -2.4 -28.47 -1.01 5 0 2.83 10.3
36 1 1018.7 0.7 6 -17.28 1.45 5 12 6.04 11.6
66.5 1 1019.3 -4.8 7.3 18.79 2.15 5 18 8.74 13.4
62.2 1 1020.5 -9 10.2 237.77 2.29 5 15 13.6 19.2
67.7 1 1020.8 -8.7 8.5 257.34 2.37 5 18 12.16 17.4
71.5 1 1019.8 -8 8.5 220.3 2.33 5 18 11.67 17.4
88.8 1 1020.3 -8.8 6.7 220.61 2.49 5 0 11.06 15.7
76.4 1 1020.5 -9.2 6.9 525.15 2.5 5 15 11.5 12.4
56.4 1 1018.8 -10.3 7.9 379.8 2.49 5 18 12.98 16.2
66.7 1 1018.7 -6.7 3.4 231.04 2.67 5 15 7.51 13.2
64.9 1 1019.5 -5.8 4.1 304.59 2.53 5 15 7.1 13.2
61 1 1019.8 -3.8 5.2 66.3 2.2 5 9 6.44 13.1
49.7 1 1025.3 0.9 5.3 6.84 1.4 5 12 5.38 11.2
51 1 1024 -0.9 -1 2.41 -2.3 5 15 1.35 3.7
45.7 1 1020.5 3.1 3.7 5.6 0.87 5 12 4.83 7.6
49.5 4 1019.4 -0.9 1.1 -5.08 2.26 5 18 1.42 8.3
61.9 1 1018.8 1.2 0.5 4 0.39 5 0 1.3 5
61.6 1 1019.2 0.1 -0.5 0.26 -1.37 5 0 0.51 5
93.3 1 1019.9 1.6 -1.1 10.32 -0.6 5 21 1.94 9.7
64.8 1 1016.5 -1.1 4.6 8.91 1.81 5 15 4.73 10.6
70 5 1015.7 2.1 1.7 5.19 0.68 5 18 2.7 9
82.3 1 1016.5 -1.8 1.3 19.96 2.52 5 0 2.22 2.9
91.2 3 1016.6 -2.2 0.8 26.29 2.79 5 15 2.34 3.7
89.9 9 1019.5 7.8 -4.7 -14.8 -0.54 5 15 9.11 14.6
53.9 1 1024.8 8.5 -8.8 105.76 -0.8 5 18 12.23 19.3
43.8 1 1022.6 4.2 -4.7 17.82 -0.84 5 18 6.3 11.4
65.1 1 1023.2 1.1 -2.7 -37.73 -1.18 5 0 2.92 5.4
84.5 1 1022.9 0.8 -1.2 28.18 -0.98 5 15 1.44 7
71 1 1018 -0.9 -1 20.18 -2.3 5 15 1.35 3.5
52.2 1 1017.7 -2.7 2.6 31.61 2.37 5 21 3.75 8.9
84.7 2 1014.6 -7.3 3.7 141.29 2.67 5 0 8.18 5.6
52.4 1 1017 -1.3 -1.8 28.07 -2.2 5 15 2.22 2.9
51.2 2 1017.3 -1 -1.5 9.9 -2.16 5 15 1.8 2.9
46.5 1 1016.9 -3 -0.4 23.9 -3 5 15 3.03 2.9
43.4 1 1017.4 -4 4.8 1.2 2.27 5 9 6.25 6.4
36.9 1 1016.4 -1.4 6.9 -7.36 1.77 5 15 7.04 10.9
69.7 1 1019.6 -0.6 -1.2 2.39 -2.04 5 15 1.34 3.3
44.3 1 1018.6 -2.2 0.7 -0.18 2.83 5 15 2.31 9.6
74.4 1 1020.4 0.1 -2 14.21 -1.52 5 0 2 5.7
85.1 1 1020.9 0.3 -1.9 33.65 -1.41 5 0 1.92 5.7
58.8 8 1019.3 -4 3.6 -6.14 2.41 5 12 5.38 7.2
58.9 1 1018.6 1.3 -0.4 -0.17 -0.3 5 15 1.36 10.1
45.1 1 1019.5 -0.3 -0.4 -1.14 -2.21 5 0 0.5 3.5
95.9 4 1023.2 6.1 0.9 23.21 0.15 5 9 6.17 8.4
80.8 1 1023.9 7.3 -2.5 27.67 -0.33 5 12 7.72 11
56.5 1 1025.3 0.8 -6.1 44.38 -1.44 5 9 6.15 5.9
52.1 1 1023.3 0.7 0.1 -0.6 0.17 5 0 0.71 5.8
30.4 1 1025 7.3 -6.3 46.3 -0.71 5 12 9.64 12.6
35.2 1 1023.7 5.8 -1.5 14.02 -0.25 5 12 5.99 12.6
33.1 1 1021.3 1.5 -2.2 5.68 -0.97 5 12 2.66 7.4
59.4 1 1018.3 7 -0.6 -42.64 -0.09 5 15 7.03 10.4
77.1 1 1019.1 5 -4.3 -98.38 -0.71 5 18 6.59 12.7
58.6 9 1016.6 4.1 2.1 -2.5 0.47 5 18 4.61 12.7
88.7 1 1020.6 4.8 -5 -164.55 -0.81 5 15 6.93 8.1
72.7 1 1019.9 5.4 -4.8 -131.12 -0.73 5 15 7.22 8.1
66.1 2 1020 7.9 -5.6 -23.63 -0.62 5 12 9.68 17.7
48.4 1 1018 4.8 -5.5 23.01 -0.85 5 9 7.3 12.9
38.1 1 1017.6 7.2 -5 44.93 -0.61 5 12 8.77 10.5
53.7 1 1018 0.7 -1.6 1.58 -1.16 5 15 1.75 6
45.2 1 1018.8 0.9 -3.2 8.15 -1.3 5 9 3.32 5.9
38 1 1018.5 -0.4 -4.2 12.55 -1.67 5 9 4.22 5.9
40.4 1 1016.2 -5.1 2.5 120.8 2.69 5 15 5.68 8.8
96.2 1 1016.3 5.9 2 22.35 0.33 5 15 6.23 4.8
97.3 1 1016.9 1.2 2.3 29.14 1.09 5 15 2.59 4.8
93.4 1 1019 5.6 -1.6 -6.99 -0.28 5 12 5.82 5.6
82.5 1 1022.3 9.3 -5.4 115 -0.53 5 18 10.75 18.7
92 1 1022.5 5.5 -4.3 63.62 -0.66 6 0 6.98 10.8
75.7 1 1021.1 1.5 -9.1 224.06 -1.41 6 21 9.22 15.5
65 1 1020.8 -1.2 -9.9 206.94 -1.69 6 0 9.97 12.7
91.2 3 1022.4 -0.1 -4.3 98.33 -1.59 6 15 4.3 11.7
93.8 3 1023.2 0.5 -4.6 76.22 -1.46 6 12 4.63 8.1
90.6 1 1020.6 0.9 -0.5 13.6 -0.51 6 9 1.03 3.9
84.9 2 1020.1 0.6 3.2 -4.05 1.39 6 12 3.26 5.9
97.3 1 1016.6 0.2 -1.5 22.53 -1.44 6 15 1.51 5.3
76.2 9 1015 -2.5 5 -7.2 2.03 6 12 5.59 9.9
93.3 3 1016.8 -2.6 -1 21.68 -2.77 6 12 2.79 9.9
97.2 1 1013 -0.1 -1.1 11.73 -1.66 6 0 1.1 3.2
93.3 1 1011.8 -0.4 -1.3 -0.46 -1.87 6 15 1.36 5.5
80.7 6 1009 -0.9 4.2 -0.87 1.78 6 15 4.3 10
96.7 1 1009.8 -1.5 -0.5 16.72 -2.82 6 15 1.58 4.2
60.9 1 1008.1 -2.3 6.1 10.13 1.93 6 12 6.52 7.6
54.6 1 1003.1 -3.1 3.9 -0.57 2.24 6 12 4.98 4.6
94.8 7 1004 4.9 1.5 26.96 0.29 6 18 5.12 11.3
95.3 1 1011.3 6.7 -1.2 43.18 -0.18 6 0 6.81 7.4
57.1 1 1012.4 6.8 -7 -19.48 -0.8 6 18 9.76 13.6
86 1 1017.4 4.8 -3.1 8.01 -0.57 6 0 5.71 7.2
63 1 1017.9 5.4 -5.5 -16.86 -0.79 6 9 7.71 9.7
54.1 1 1014.3 4.8 -3.2 -18.44 -0.59 6 12 5.77 10.4
71 1 1017.5 6.6 -0.8 11.01 -0.12 6 15 6.65 11.2
52.1 5 1018.6 6 -5 -0.9 -0.69 6 12 7.81 15.6
43.9 1 1017.6 5 -4.7 -6.68 -0.75 6 18 6.86 14.9
52.8 1 1018.6 6.9 -5 49.5 -0.63 6 18 8.52 14.9
66.9 1 1020.6 4.3 -5.2 33.1 -0.88 6 21 6.75 12.4
84.8 1 1018.3 3.8 -2.5 -4.69 -0.58 6 12 4.55 10.2
79.1 1 1018.5 4 -2.2 4.81 -0.5 6 18 4.57 14
91 1 1019.8 1.6 -1.4 -0.09 -0.72 6 15 2.13 5.8
93 1 1020.5 4 -4.9 11.12 -0.89 6 15 6.33 6.8
55.3 1 1018 5.1 -4.4 15.7 -0.71 6 18 6.74 13.1
62.6 1 1019.4 3.1 -3.1 20.23 -0.78 6 21 4.38 12.3
42.4 1 1017.5 4.4 -1.6 1.47 -0.35 6 18 4.68 8.2
38.9 1 1017.3 4.5 -2.1 7.75 -0.44 6 18 4.97 8.2
53.6 1 1018 0.2 -0.4 -6.82 -1.11 6 0 0.45 4.6
85.1 1 1013 -4 4.9 56.66 2.25 6 15 6.33 12.2
76.5 1 1012.9 -3.2 4.9 41.55 2.15 6 18 5.85 9.5
93.2 6 1014.8 3.3 -3 -64.06 -0.74 6 15 4.46 8.6
86.9 1 1021.1 5.3 -6.1 -70.39 -0.86 6 15 8.08 9.4
71.8 1 1021.1 5.6 -6.4 -32.57 -0.85 6 9 8.5 12
59.6 1 1020.9 1.7 -3.5 -5.35 -1.12 6 21 3.89 8.3
34.5 1 1017.3 4.2 -0.2 4.71 0 6 15 4.2 10.2
36.3 1 1016.2 3.2 3.6 -0.98 0.84 6 15 4.82 10.2
41.5 1 1017.7 0.1 -0.7 12.45 -1.43 6 21 0.71 5.6
53.2 1 1016.8 -4 7.2 83.62 2.08 6 18 8.24 12
64.4 1 1015.8 -0.4 1.9 50.8 1.78 6 15 1.94 8.5
88.5 1 1017.4 -2.3 4.2 162.16 2.07 6 15 4.79 10
94.4 6 1019.9 0.7 -3.8 -34.95 -1.39 6 15 3.86 9.4
45.6 1 1023.6 7.7 -6 3.68 -0.66 6 12 9.76 11.6
50.9 1 1024.8 4.4 -4.9 -10.04 -0.84 6 21 6.59 12.2
54 1 1022.6 -1.4 -3.4 18.17 -1.96 6 0 3.68 7.1
48.2 1 1020.8 -4.7 1.9 132.88 2.76 6 15 5.07 2.9
34.6 1 1017.3 -2.9 -0.3 24.65 -3.02 6 0 2.92 4
91.1 1 1020.1 8 -3 40.19 -0.36 6 15 8.54 10.5
83.5 4 1021 7.9 -2.8 26.41 -0.34 6 12 8.38 12.9
85.7 3 1021 7.4 -4.8 40.69 -0.58 6 18 8.82 15.9
31.6 1 1019.6 7.7 -6.3 38.72 -0.69 6 12 9.95 15.1
38.5 1 1020.4 5.3 -8.5 16.61 -1.01 6 12 10.02 15.1
49.1 1 1020.9 4.5 -5.4 -40.13 -0.88 6 21 7.03 11.9
37.9 1 1021 1 -5.1 -68.8 -1.38 7 0 5.2 7.8
40.6 1 1021.1 3.4 -6.6 -14.6 -1.09 7 9 7.42 13
47.5 1 1017.7 -1.9 -6.1 -75.55 -1.87 7 0 6.39 10.8
31.8 1 1009.7 -1.7 7.2 4.33 1.8 7 18 7.4 9.8
58.3 1 1012.4 5.9 0.3 39.9 0.06 7 0 5.91 3
77.4 2 1014.3 4 -1.8 16.31 -0.42 7 12 4.39 7.1
91.2 1 1017.8 3.5 -2.4 81.8 -0.6 7 21 4.24 5.6
50.1 1 1016.1 6.6 -3.5 26.75 -0.49 7 12 7.47 10.4
49.8 1 1013.4 7 -3.8 -37.44 -0.5 7 12 7.96 10
51.5 2 1012.1 6.4 -1.4 -14.55 -0.21 7 15 6.55 10
51.7 1 1013.3 3.7 -6.1 -35.46 -1.03 7 18 7.13 10.7
70 1 1013.6 3.4 -5.3 -23.89 -1 7 21 6.3 11.7
83.3 1 1015.2 0.1 -1.3 -86.55 -1.49 7 15 1.3 8.9
36.6 1 1012.9 3.2 4.5 11.83 0.95 7 15 5.52 9.3
42.3 1 1015.1 5 -4.2 -34.55 -0.7 7 18 6.53 9.1
33 1 1016.1 4.8 -0.5 -22.98 -0.11 7 21 4.83 7.9
54.8 1 1017.7 1.3 -4.5 6.92 -1.29 7 21 4.68 8.5
63.5 1 1017.9 -1 -1.9 48.57 -2.05 7 0 2.15 4.4
69.7 1 1018 0.5 -1.6 -22.56 -1.27 7 0 1.68 4.4
67.3 1 1018 3.6 1.9 -7.21 0.49 7 9 4.07 4.5
48.3 1 1017.7 0.9 -6.6 6.37 -1.44 7 12 6.66 9.7
82.2 1 1017.8 2.1 -2.5 -9.45 -0.87 7 0 3.26 9
66.8 1 1017.3 -0.4 -2.1 -14.9 -1.76 7 15 2.14 3.7
79.4 1 1017.2 -0.1 -1.3 -3.35 -1.65 7 15 1.3 3.7
78.1 1 1016.9 -0.3 -2.3 22.8 -1.7 7 15 2.32 4.5
36.8 1 1013.3 -2.9 7.7 -11.12 1.93 7 18 8.23 11.8
45.7 1 1013.8 -1.9 3.5 8.58 2.07 7 21 3.98 9.8
43.9 1 1014.1 -3.4 2.7 113.35 2.47 7 0 4.34 7
36.9 1 1011.8 -7.1 8.5 267.6 2.27 7 9 11.08 11.6
96.4 1 1013.9 5 0.1 -34.04 0 7 0 5 13.6
95.4 1 1011 0.2 0.4 -31.55 1.11 7 15 0.45 8.5
90 1 1018.5 4.2 -6.8 -23.65 -1.02 7 21 7.99 14.8
88.1 1 1019.4 6.2 -6.4 54.18 -0.8 7 0 8.91 12.3
87.2 1 1018.6 1 -4.2 -35.68 -1.34 7 15 4.32 7.8
68.7 1 1021.2 2 -3.3 -74.88 -1.03 7 0 3.86 8.8
66.1 1 1021.2 1.6 -2.5 -64.28 -1 7 15 2.97 5.9
67.2 1 1020.7 2 -3.5 -51.48 -1.05 7 15 4.03 5.9
78.9 1 1021.2 1.1 -1.8 -29.76 -1.02 7 15 2.11 5.5
72.4 1 1021.5 1.9 -1.5 -22.62 -0.67 7 15 2.42 5.5
43.4 1 1019 8.4 -5.4 75.88 -0.57 7 18 9.99 10.2
63.7 1 1017.2 -0.1 -0.5 -2.21 -1.77 7 15 0.51 2.6
96.9 7 1008.7 3 2.2 -28.67 0.63 7 15 3.72 4.8
78.6 1 1011.2 8.2 -1.1 46.97 -0.13 7 15 8.27 12.6
83.1 1 1012.7 6.7 -1 -19.73 -0.14 7 9 6.77 7.6
78.7 1 1004.8 -2.9 2.6 53.08 2.41 7 15 3.89 4.6
88 1 1006.5 12.5 -4.3 -10.64 -0.33 7 9 13.22 18.6
68.7 1 1008.6 11.1 -5.4 14.03 -0.45 7 15 12.34 18.5
90.9 1 1014.1 8.9 -4.8 11.45 -0.49 7 15 10.11 15.2
90 1 1014.2 9.2 -6.3 37.81 -0.6 7 15 11.15 15.2
84.3 1 1016.3 8.6 -2.2 55.14 -0.25 7 12 8.88 16.5
80.2 1 1014.4 7.8 -3 -5.5 -0.37 7 18 8.36 9.8
95.2 1 1014.2 4.3 1 43.94 0.22 7 0 4.41 6.3
97.3 1 1014.2 1.4 0.9 30.21 0.57 7 0 1.66 6.3
96.2 1 1012.7 5.4 1.1 39.83 0.2 7 15 5.51 5.8
94.4 1 1012.5 6.1 0 10.53 0 7 15 6.1 5.8
90.1 1 1013 8.7 -0.4 4.42 -0.05 7 12 8.71 15.7
73.6 1 1014 8.9 -1.1 13.62 -0.13 7 12 8.97 15.7
91.9 1 1015.3 5 -3.4 27.39 -0.6 7 0 6.05 7.8
